type,prix,surface,nb_pieces,localisation,details
Appartement,597 000 €,77 m²,4 pièces,Paris 20 (75020),Ascenseur • 1 salle d'eau • Balcon
Appartement,300 000 €,33 m²,2 pièces,Paris 11 (75011),Sous-sol • 1 cave • 1 salle d'eau
Appartement,189 000 €,20 m²,1 pièces,Paris 20 (75020),1 salle d'eau
Appartement,300 000 €,31 m²,2 pièces,Paris 18 (75018),Cheminée • Terrasse • 2 caves • 1 salle de bain
Appartement,285 000 €,28 m²,2 pièces,Paris 14 (75014),1 cave • 1 salle d'eau
Appartement,143 000 €,14 m²,1 pièces,Paris 15 (75015),1 salle d'eau
Appartement,532 500 €,48 m²,3 pièces,Paris 13 (75013),Ascenseur • 1 cave • 1 salle d'eau
Appartement,410 500 €,41 m²,2 pièces,Paris 15 (75015),Ascenseur • 1 cave • 1 salle d'eau
Appartement,349 000 €,28 m²,2 pièces,Paris 15 (75015),1 salle d'eau
Appartement,489 500 €,52 m²,3 pièces,Paris 11 (75011),1 cave • 1 salle d'eau
Appartement,355 000 €,33 m²,2 pièces,Paris 15 (75015),Ascenseur • 1 cave • 1 salle d'eau
Appartement,550 000 €,51 m²,3 pièces,Paris 11 (75011),1 cave • 1 salle d'eau
Appartement,150 000 €,15 m²,1 pièces,Paris 19 (75019),Cheminée • 1 cave
Appartement,570 000 €,74 m²,3 pièces,Paris 11 (75011),1 cave • 1 salle de bain
Appartement,315 000 €,31 m²,2 pièces,Paris 17 (75017),1 salle d'eau
Appartement,189 000 €,12 m²,1 pièces,Paris 03 (75003),1 salle de bain
Appartement,420 000 €,66 m²,3 pièces,Paris 19 (75019),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,610 000 €,65 m²,3 pièces,Paris 13 (75013),Accès handicapé • Ascenseur • 1 salle de bain • Parking
Appartement,150 000 €,31 m²,2 pièces,Paris 19 (75019),1 salle d'eau
Appartement,280 000 €,28 m²,1 pièces,Paris 10 (75010),Ascenseur • 1 salle de bain
Appartement,459 000 €,44 m²,2 pièces,Paris 16 (75016),Ascenseur • 1 cave • 1 salle de bain • Balcon
Appartement,690 000 €,60 m²,2 pièces,Paris 04 (75004),Cheminée • Ascenseur • 1 cave • 1 salle de bain
Appartement,1 150 000 €,91 m²,4 pièces,Paris 18 (75018),Cheminée • 3 caves • 1 salle de bain • 1 salle d'eau
Appartement,462 000 €,49 m²,3 pièces,Paris 15 (75015),1 cave • 1 salle de bain
Appartement,339 000 €,32 m²,2 pièces,Paris 15 (75015),1 cave • 1 salle d'eau
Appartement,630 000 €,61 m²,3 pièces,Paris 11 (75011),Ascenseur • 1 cave • 1 salle de bain
