type,prix,prix_m2,surface,nb_pieces,localisation,details
non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible
Appartement,625 000 €,Soit 6 985€ /m2,89 m2,4 pièces,Paris 18- Barbès - Château Rouge,"3 chambres, Cave, À rafraîchir, Etage : 3"
Appartement,285 000 €,Soit 8 382€ /m2,34 m2,2 pièces,Paris 19- Porte des Lilas,"1 chambre, Cave, Bon état, Etage : 2"
Appartement,299 500 €,Soit 8 809€ /m2,34 m2,2 pièces,Paris 19- Porte des Lilas,"1 chambre, Bon état, Etage : 2"
Appartement,309 000 €,Soit 6 806€ /m2,45 m2,2 pièces,Paris 19- Porte des Lilas,"1 chambre, Cave, À rafraîchir, Garage, Etage : 5"
Appartement,525 000 €,Soit 8 077€ /m2,65 m2,3 pièces,Paris 14- Plaisance,"2 chambres, Balcon, Cave, À rénover, Garage, Ascenseur"
Appartement,680 000 €,Soit 5 862€ /m2,116 m2,6 pièces,Paris 18- Chapelle - Marx Dormoy,"4 chambres, Cave, Bon état, Etage : 1"
Appartement,780 000 €,Soit 8 211€ /m2,95 m2,4 pièces,Paris 10- Louis Blanc - Aqueduc,"3 chambres, Balcon, Cave, À rénover, Etage : 5"
Appartement,348 500 €,Soit 7 997€ /m2,44 m2,2 pièces,Paris 18- Chapelle - Marx Dormoy,"1 chambre, Balcon, Cave, Bon état, Exposition : Est, Ascenseur"
Appartement,198 000 €,Soit 7 051€ /m2,28 m2,1 pièce,Paris 13- Butte-aux-Cailles,"Studio, À rénover, Garage, Rez-de-chaussée"
Appartement,380 000 €,Soit 12 398€ /m2,31 m2,1 pièce,Paris 13- Croulebarbe,"Studio, Terrasse, Cave, Bon état, Exposition : Sud, Ascenseur"
Appartement,720 000 €,Soit 9 045€ /m2,80 m2,4 pièces,Paris 20- Jourdain - Telegraphe,"3 chambres, Terrasse, Cave, Bon état, Ascenseur, Etage : 1"
Appartement,490 000 €,Soit 9 017€ /m2,54 m2,2 pièces,Paris 17- Epinettes,"1 chambre, Cave, Bon état, Ascenseur, Etage : 3"
Appartement,810 000 €,Soit 12 857€ /m2,63 m2,2 pièces,Paris 3- Enfants Rouges - Bretagne,"1 chambre, Cave, Bon état, Etage : 2"
Appartement,260 000 €,Soit 10 400€ /m2,25 m2,1 pièce,Paris 20- Père Lachaise - Réunion,"Studio, Balcon, Bon état, Exposition : Sud, Ascenseur, Etage : 5"
non disponible,non disponible,non disponible,non disponible,non disponible,non disponible,non disponible
Appartement,580 000 €,Soit 7 250€ /m2,80 m2,4 pièces,Paris 19- Porte des Lilas,"3 chambres, Balcon, Cave, À rénover, Exposition : Sud, Ascenseur"
Appartement,457 000 €,Soit 10 156€ /m2,45 m2,2 pièces,Paris 15- Commerce - Zola,"1 chambre, Balcon, À rénover, Exposition : Nord, Ascenseur, Etage : 6"
Appartement,956 800 €,Soit 9 662€ /m2,99 m2,5 pièces,Paris 15- Porte de Versailles,"3 chambres, Balcon, Cave, À rafraîchir, Ascenseur, Etage : 4"
Appartement,530 000 €,Soit 8 028€ /m2,66 m2,3 pièces,Paris 15- Porte de Versailles,"2 chambres, Balcon, Cave, À rénover, Exposition : Sud, Ascenseur"
Appartement,428 000 €,Soit 8 121€ /m2,53 m2,3 pièces,Paris 15- Georges Brassens,"2 chambres, Cave, À rafraîchir, Ascenseur, Etage : 7"
Appartement,361 000 €,Soit 7 442€ /m2,49 m2,3 pièces,Paris 15- Georges Brassens,"2 chambres, Cave, À rafraîchir, Ascenseur, Etage : 4"
Appartement,248 000 €,Soit 11 273€ /m2,22 m2,2 pièces,Paris 10- Goncourt - Canal Saint-Martin,"1 chambre, Cave, Bon état, Etage : 6"
Appartement,327 000 €,Soit 12 577€ /m2,26 m2,2 pièces,Paris 11- République - Parmentier,"1 chambre, Cave, Bon état, Ascenseur, Etage : 7"
Appartement,500 000 €,Soit 10 204€ /m2,49 m2,2 pièces,Paris 17- Guy Moquet,"1 chambre, Bon état, Ascenseur, Etage : 5"
Appartement,385 000 €,Soit 10 900€ /m2,35 m2,2 pièces,Paris 11- République - Parmentier,"1 chambre, Parfait état, Etage : 2"
Appartement,436 800 €,Soit 8 914€ /m2,49 m2,2 pièces,Paris 18- Simplon - Poissonniers,"1 chambre, Cave, Bon état, Rez-de-chaussée"
Appartement,442 000 €,Soit 9 208€ /m2,48 m2,3 pièces,Paris 20- Ménilmontant - Amandiers,"2 chambres, Cave, Bon état, Etage : 2"
