type,prix,surface,nb_pieces,localisation,details
Appartement,282 000 €,29.2 m²,2 pièces,75020 PARIS,"Paris 20e - Télégraphe / Votre agence Stéphane Plaza Immobilier a le plaisir de vous présenter un deux pièces baigné de lumière, en dernier étage (avec ascenseur) d'un immeuble des années 30. entrée, salle d'eau avec douche et WC, cuisine semi-ouverte sur le séjour et chambre."
Appartement,970 000 €,102.05 m²,4 pièces,75015 PARIS,"d'une entrée, un séjour, une cuisine, 3 chambres, une salle d'eau et une salle de bain, WC. Une cave et une place de parking complètent ce bien."
Appartement,540 000 €,59.71 m²,3 pièces,75020 PARIS,"Nous avons le plaisir de vous présenter un appartement plein de charme, ayant bénéficié d'une très belle rénovation. Ce bien comportant 3 pièces, dispose en premier lieu d'un confortable espace de vie (salon/séjour/cuisine) de près de 24 m2 éclairé par deux grandes fenêtres donnant sur la rue (exposition Ouest)."
Appartement,250 000 €,25.31 m²,1 pièces,75012 PARIS,"L'agence Stéphane Plaza Immobilier Paris 10 vous propose en exclusivité ce studio en rez-de-chaussée rénové de 25,31 m² loi carrez (soit 35,21 surface au sol) , à usage commercial, situé dans un bel immeuble en pierre de taille, à 250 m du métro Daumesnil. Il se compose d'une pièce de vie principale, une cuisine aménagée ouverte, une salle d'eau avec wc, d'une chambre en souplex."
Appartement,780 000 €,92 m²,4 pièces,75020 PARIS,"Quartier Alexandre Dumas, votre agence Stéphane Plaza Immobilier de Paris 20e Alexandre Dumas vous propose ce quatre pièces traversant et calme à 3 minutes du métro Alexandre Dumas (ligne 2) et 7 minutes du métro Buzenval (ligne 9) . D'une superficie de 92 m² et situé au 2ème étage avec ascenseur d'un immeuble bien entretenu."
Appartement,223 000 €,20.7 m²,1 pièces,75011 PARIS,"Immeuble ancien idéalement situé au coeur du 11e arrondissement proche des commerces et transports. Appartement en très bon état, lumineux et au calme de 20,70m2 loi carrez situé au 3e étage desservi par escalier."
Appartement,698 000 €,70.38 m²,3 pièces,75018 PARIS,"Quartier Montmartre - Jules Joffrin 1 bis rue Lecuyer Paris 18ème Amateurs de PMC (Parquet - Moulures - Cheminées), venez découvrir ce superbe appartement de 3 pièces 1 chambre (possibilité de 3 pièces 2 chambres). L'appartement comprend 2 balcons et une grande cave complète ce bien."
Appartement,599 000 €,79.11 m²,3 pièces,75020 PARIS,"Vous êtes comme moi, un rez-de -chaussée ne vous séduit pas en général ? Alors faites-moi confiance et venez découvrir celui-ci.."
Appartement,240 000 €,26.71 m²,1 pièces,75020 PARIS,"Quartier Père Lachaise-Réunion, votre agence Stéphane Plaza Immobilier de Paris 20e Alexandre Dumas vous propose ce studio lumineux et calme, d'une superficie de 26.71 m² et situé au 10ème et dernier étage avec ascenseur d'un immeuble bien entretenu."
Appartement,218 000 €,18 m²,1 pièces,75011 PARIS,"À quelques pas du métro Rue Saint-Maur, venez découvrir ce magnifique studio clés en main de 18 m² (17,58 m² loi Carrez), situé au 2e étage par escalier, dans une copropriété ancienne. Il se compose d'une entrée avec placards de rangement, d'une pièce de vie exposée sud, d'un cuisine semi-ouverte entièrement équipée, ainsi que d'une salle de bain (baignoire sabot) avec WC."
Appartement,123 000 €,18.73 m²,2 pièces,75018 PARIS,"Marx Dormoy / rue jean Robert - Au 3ème étage d'un immeuble ancien, venez visiter ce charmant 2 pièces de 18,73 m² composé d'une pièce de vie avec coin cuisine, une chambre et une salle d'eau avec WC. A deux pas des commerces et des transports."
